risk_score,years,monthly_investment,equity_pct,debt_pct,gold_pct,liquid_pct,goal_priority,is_emergency_goal,fund_expected_return,fund_volatility,fund_goal_bias,fund_liquidity,label
28,3,10000,20,50,15,15,1,1,7.4,4.8,0.58,0.88,0.91
28,3,10000,20,50,15,15,1,1,5.8,1.2,0.42,0.98,0.87
28,3,10000,20,50,15,15,1,1,12.2,16.5,0.72,0.75,0.22
52,8,15000,50,25,15,10,2,0,11.4,13.1,0.84,0.70,0.92
52,8,15000,50,25,15,10,2,0,7.9,5.4,0.60,0.83,0.72
52,8,15000,50,25,15,10,2,0,8.3,10.1,0.49,0.80,0.64
76,12,25000,75,10,10,5,3,0,12.2,16.5,0.72,0.75,0.94
76,12,25000,75,10,10,5,3,0,13.1,18.4,0.76,0.66,0.89
76,12,25000,75,10,10,5,3,0,7.4,4.8,0.58,0.88,0.41
64,10,18000,50,25,15,10,1,0,11.4,13.1,0.84,0.70,0.9
64,10,18000,50,25,15,10,1,0,12.2,16.5,0.72,0.75,0.81
64,10,18000,50,25,15,10,1,0,7.9,5.4,0.60,0.83,0.58
38,5,12000,20,50,15,15,1,1,7.4,4.8,0.58,0.88,0.88
38,5,12000,20,50,15,15,1,1,8.0,9.8,0.46,0.78,0.61
38,5,12000,20,50,15,15,1,1,11.4,13.1,0.84,0.70,0.35
